,Dielectric constant,Solvent,Cas Number
0,22,ALLYL ALCOHOL ,107-18-6
1,7,ALLYL BROMIDE ,106-95-6
2,8.2,ALLYL CHLORIDE ,107-05-1
3,6.1,ALLYL IODIDE ,556-56-9
4,17.2,ALLYL ISOTHIOCYANATE ,"['58391-87-0', '50978-48-8', '57-06-7', '50888-64-7', '107231-30-1']"
5,-11.5,ALUMINA ,1302-74-5
6,4.5,ALUMINA ,1302-74-5
7,3.4,ALUMINUM BROMIDE ,"['12794-92-2', '7727-15-3', '39380-76-2', '56803-00-0']"
8,2.2,ALUMINUM FLUORIDE ,7784-18-1
9,2.4,ALUMINUM OLEATE ,688-37-9
10,6,ALUMINUM PHOSPHATE ,"['135151-77-8', '13765-93-0', '36201-72-6', '37324-42-8', '51668-55-4', '52350-11-5', '7784-30-7', '8022-59-1', '89686-54-4', '93237-81-1']"
11,-1.8,ALUMINUM POWDER ,"['113962-66-6', '12766-45-9', '182260-45-3', '37202-64-5', '39302-71-1', '39332-62-2', '80341-19-1', '91728-14-2', '7429-90-5']"
12,25,AMMONIA ,"['15194-15-7', '17778-88-0', '208990-07-2', '214478-05-4', '8007-57-6', '13774-92-0', '7664-41-7']"
13,22,AMMONIA ,"['15194-15-7', '17778-88-0', '208990-07-2', '214478-05-4', '8007-57-6', '13774-92-0', '7664-41-7']"
14,18.9,AMMONIA ,"['15194-15-7', '17778-88-0', '208990-07-2', '214478-05-4', '8007-57-6', '13774-92-0', '7664-41-7']"
15,16.5,AMMONIA ,"['15194-15-7', '17778-88-0', '208990-07-2', '214478-05-4', '8007-57-6', '13774-92-0', '7664-41-7']"
16,1.0072,AMMONIA GAS ,"['15194-15-7', '17778-88-0', '208990-07-2', '214478-05-4', '8007-57-6', '13774-92-0', '7664-41-7']"
17,7.2,AMMONIUM BROMIDE ,"['7789-32-4', '101215-76-3', '12124-97-9', '14216-86-5', '204322-88-3']"
18,7,AMMONIUM CHLORIDE ,"['12125-02-9', '127634-24-6', '128532-42-3', '154383-48-9', '15630-61-2', '20548-08-7', '50295-88-0', '54450-56-5', '55871-05-1', '75944-36-4', '89485-84-7', '89485-85-8']"
19,5,AMYL ACETATE ,628-63-7
20,35.5,AMYL ALCOHOL ,71-41-0
21,15.8,AMYL ALCOHOL ,71-41-0
22,11.2,AMYL ALCOHOL ,71-41-0
23,5.1,AMYL BENZOATE ,2049-96-9
24,6.3,AMYL BROMIDE ,110-53-2
25,6.6,AMYL CHLORIDE ,"['543-59-9', '29656-63-1']"
26,3.1,AMYL ETHER ,693-65-2
27,5.7,AMYL FORMATE ,638-49-3
28,6.9,AMYL IODIDE ,628-17-1
29,9.1,AMYL NITRATE ,1002-16-0
30,17.4,AMYL THIOCYANATE ,32446-40-5
31,4.6,AMYLAMINE ,110-58-7
32,2,AMYLENE ,513-35-9
33,4.7,AMYLMERCAPTAN ,110-66-7
34,7.8,ANILINE ,"['62-53-3', '146997-94-6', '17843-02-6', '53894-37-4', '37342-16-8']"
35,7.3,ANILINE ,"['62-53-3', '146997-94-6', '17843-02-6', '53894-37-4', '37342-16-8']"
36,5.5,ANILINE ,"['62-53-3', '146997-94-6', '17843-02-6', '53894-37-4', '37342-16-8']"
37,15.8,ANISALDEHYDE ,"['26249-15-0', '68894-36-0', '123-11-5', '50984-52-6']"
38,4.3,ANISOLE ,100-66-3
39,3.2,ANTIMONY PENTACHLORIDE ,"['12314-11-3', '7647-18-9']"
40,20.9,ANTIMONY TRIBROMIDE ,7789-61-9
41,33,ANTIMONY TRICHLORIDE ,"['39357-85-2', '59922-49-5', '8007-28-1', '12515-76-3']"
42,5.3,ANTIMONY TRICHLORIDE ,"['39357-85-2', '59922-49-5', '8007-28-1', '12515-76-3']"
43,1.5,ARGON ,"['13473-05-7', '137736-93-7', '24494-51-7', '50938-66-4', '7440-37-1', '75714-55-5']"
44,1.000513,ARGON ,"['13473-05-7', '137736-93-7', '24494-51-7', '50938-66-4', '7440-37-1', '75714-55-5']"
45,9,ARSENIC TRIBROMIDE ,7784-33-0
46,7,ARSENIC TRICHLORIDE ,"['7784-34-1', '8011-67-4']"
47,12.4,ARSENIC TRICHLORIDE ,"['7784-34-1', '8011-67-4']"
48,7,ARSENIC TRIIODIDE ,7784-45-4
49,5.1,AZOXYBENZENE ,"['495-48-7', '55599-32-1']"
50,9.4,BARIUM CHLORIDE ,10361-37-2
51,5.8,BARIUM NITRATE ,10022-31-8
52,11.4,BARIUM SULFATE ,"['13462-86-7', '12751-32-5', '7727-43-7', '8054-35-1']"
